id|imsi|imei|cell|lac|event_type|event_ts
482|530090359|95578366707979|3847|55|7|01/12/2020 17:13
483|431442166|49579400252729|3250|70||08/12/2020 19:21
484|438775270|13261336910510|4796|21|2|22/12/2020 18:38
485|693396869|62473973366890|9956|50|8|09/12/2020 11:48
486|870822845|30439125576146|1650|81|2|24/12/2020 15:16
487|184382657|14503662486348|9267|59|8|16/12/2020 06:03
488|822407765|37557561999438|3405|59|3|07/12/2020 22:56
489|409993086|20763107197209|2419|91|8|07/12/2020 07:08
490|291832997|92161190827873|4264|72|2|
491|445820017|39380510412605|4752|60|4|03/12/2020 02:54
492|291803689|65048386996774|9212|27|2|12/12/2020 06:06
493|364347309|93284991373913||71|4|07/12/2020 05:35
494|950736765|48374926975799|5675|84|2|26/12/2020 12:36
495|989281620|30796613059287|7897|85|8|02/12/2020 17:28
496|655853530|30879520973554|5260|97|7|22/12/2020 02:38
497||63544790324362|2817|32|8|01/12/2020 13:08
498|886934078|91940047766863|2808|70|8|
499|759921900|73127599483764|1836|44|1|14/12/2020 14:22
500|739135262|17282062485664|4751|31|5|17/12/2020 12:05
501|563402550|36931691853412|2913|32|9|03/12/2020 23:05
502|838988527||2741|52|1|13/12/2020 08:14
503|361801524|82115233963418|2655|49|5|13/12/2020 19:43
504|163203412|56857781830682|6608|79|5|11/12/2020 03:13
505|683534827|50857465286583|9811|22|9|31/12/2020 20:11
506|422708069|34548719878036|3352|13|5|13/12/2020 14:08
507|301091176|13358222629602|6182|67|1|04/12/2020 02:49
508|747271511|65428543929624|3148|44|7|02/12/2020 16:38
509|735474891|24813270725823|5172|36|2|18/12/2020 06:08
510|634490880||3012|80|8|20/12/2020 17:37
511|346847786|70135128741443|9691|15|6|05/12/2020 17:54
512|528917774|56009202878471|7225|34|5|07/12/2020 21:32
513|322754996|54234890071552|9490|12|6|11/12/2020 01:27
514|112067555|21910886953667|3863|66|7|
515|820063929|12799209721440|3720|44|7|01/12/2020 02:08
516|699441845|11383112947117|2584|16|4|11/12/2020 07:45
517|858097133|32415313236235|2854|19|6|01/12/2020 09:21
518|437074112|72957448134782|8190|67|9|06/12/2020 22:08
519|327649796|17090976262350|9953|51|2|08/12/2020 16:12
520|272780312|29468892456022|9943|32|2|07/12/2020 01:06
521|738417266|21414532396279|4786|77|4|29/12/2020 13:32
522|675737201|72294418857417|4331|26|4|01/12/2020 02:43
523|568565992|53697773602083|2071|74|3|20/12/2020 12:05
524|270574175|75741257677727|6945|50|6|12/12/2020 10:54
525|160726137|46111163030042|8893|52|5|10/12/2020 06:29
526|629737427|34486472229245|5371|83|1|02/12/2020 17:18
527|615596901|83561099830213|3355|95|8|21/12/2020 16:07
528|483676443|36524832933245|5247|12|6|24/12/2020 22:41
529|455854827|21187200464362|1738|74|1|05/12/2020 13:26
530|855513198|63501630554421|3439|18|4|08/12/2020 04:57
531|871267752|74997804749608|5155|60|3|01/12/2020 03:59
532|482558800|55881770533711|4401|38|2|22/12/2020 08:15
533|427766127|76591667595423|8421|84|6|21/12/2020 12:31
534|259613233|39564155460480|8773|83|6|27/12/2020 12:31
535|971694998|49627334614983|1352|12|3|04/12/2020 03:58
536|756084416|83644398100163|7517|74|8|16/12/2020 12:50
537|178534177|21187111568851|2297|75|5|18/12/2020 18:33
538|491468709|79363611803881|3757|29|3|25/12/2020 12:32
539|349809385|53264870434797|7754|34|2|04/12/2020 17:58
540|943426113|49959530757911|3464|16|5|27/12/2020 11:15
541|371769355|48623625119173|2249|40|2|21/12/2020 15:31
542|146411249|77034311263960|1193|90|3|29/12/2020 01:16
543|459994413|76462242655798|6204|47|9|14/12/2020 04:03
544|953625054|67637642207282|4781|35|3|12/12/2020 15:53
545|541930287|34139818110772|1151|36|6|18/12/2020 12:18
546|939918089|14153264557371|2905|48|1|27/12/2020 09:20
547|725653444|98315890870015|7322|80|9|17/12/2020 08:07
548|553566833|65004710742692|1280|78|8|27/12/2020 21:33
549|766432872|34796433395916|6172|21|8|16/12/2020 12:32
550|492354597|27373478041199|2921|35|2|10/12/2020 02:06
551|923284099|12202050931873|3359|61|2|31/12/2020 04:15
552|784900077|46052683429844|5955|31|2|04/12/2020 05:18
553|459042639|13350680236206|2725|24|1|07/12/2020 03:26
554|769160709|46368397176822|2531|47|4|31/12/2020 17:20
555|781400555|62977231807485|1509|52|5|19/12/2020 19:35
556|371032048|67009192717612|2217|45|6|16/12/2020 18:05
557|767360629|57621591742123|6057|80|4|12/12/2020 20:53
558|178519696|35310232304350|9398|24|9|14/12/2020 17:14
559|752204580|12591860193317|3990|98|7|04/12/2020 05:40
560|305467856|50124089096743|5558|99|5|18/12/2020 10:27
561|479672465|30793507571082|2174|36|8|20/12/2020 04:01
562|719144794|20373768350479|5182|80|4|17/12/2020 23:31
563|423042322|96053936042672|4526|93|5|29/12/2020 17:50
564|445070980|41393724889722|4992|30|7|15/12/2020 09:40
565|527189240|52358465713523|2891|31|4|07/12/2020 03:29
566|821635431|52630500509038|1652|97|8|09/12/2020 13:50
567|686910691|46593479540556|5486|79|8|06/12/2020 13:15
568|884135872|42079126918235|7441|39|2|12/12/2020 12:18
569|424291174|80959672113858|7141|96|2|15/12/2020 16:12
570|524881209|37267974558251|8853|11|8|03/12/2020 18:08
571|285089492|56511734071127|7069|17|5|25/12/2020 08:34
572|302928152|27831906681473|4026|30|2|22/12/2020 03:31
573|630071599|86340070205369|3529|16|6|10/12/2020 14:43
574|889825093|97577774465456|3275|63|5|01/12/2020 09:47
575|915555875|17843309344055|6513|83|8|16/12/2020 13:45
576|783230561|18288940367427|2180|47|1|22/12/2020 11:10
577|885451972|81462154242313|4587|92|1|02/12/2020 13:53
578|259099308|18174041495573|4364|85|4|26/12/2020 06:02
579|454791391|24724760295559|9203|80|7|14/12/2020 04:35
580|932046126|97494978786397|8963|96|3|12/12/2020 18:36
581|925977201|22458731916811|7165|87|6|01/12/2020 05:55
582|891059587|73197330793106|3504|43|8|23/12/2020 01:51
583|171836122|74846156647782|5314|58|8|29/12/2020 14:02
584|698174222|45050509190132|9997|53|9|12/12/2020 13:03
585|566133360|54533899226724|8882|90|7|08/12/2020 07:29
586|610894874|66435938804506|2710|14|4|20/12/2020 17:59
587|117067173|54216668124838|6857|64|2|13/12/2020 11:15
588|905690643|87673205614861|3906|54|1|11/12/2020 02:09
589|661099117|67060209324106|4192|56|1|29/12/2020 07:40
590|778351493|63241957880079|4269|20|9|07/12/2020 07:28
591|678389551|85425775835069|2760|98|3|01/12/2020 14:43
592|989445815|46311933484512|4453|14|5|30/12/2020 00:22
593|169568629|73225438800640|9647|27|4|09/12/2020 02:15
594|284621580|57853338953355|2648|78|8|17/12/2020 23:09
595|741278388|55734657188715|9531|45|5|29/12/2020 06:24
596|462033369|48470079965618|6502|87|8|28/12/2020 12:45
597|539560417|59533444220459|1516|15|4|26/12/2020 09:34
598|502762681|54957339484313|7465|80|7|27/12/2020 01:55
599|721454657|81890714708860|8230|91|7|11/12/2020 15:10
600|728845969|71746273302205|2046|47|2|05/12/2020 00:06
601|687833942|38463928300162|6954|27|1|22/12/2020 05:53
602|776432202|99373329575819|7637|88|5|10/12/2020 16:51
603|548095562|46020938122885|6089|20|8|05/12/2020 21:05
604|578907686|25477352390476|1292|94|7|17/12/2020 11:48
605|207850628|73890230133520|3616|46|1|04/12/2020 13:44
606|738506049|79726934442950|9021|39|8|16/12/2020 02:42
607|837313676|72477155223941|3115|59|7|16/12/2020 10:15
608|137590866|20628542596415|4168|21|6|23/12/2020 20:15
609|127446656|97194462459467|9134|46|9|04/12/2020 15:19
610|670740098|56659353321644|9518|74|6|21/12/2020 03:16
611|870429137|93321821175698|5867|36|7|19/12/2020 23:44
612|206456930|31070952747224|1661|52|8|11/12/2020 22:29
613|688458967|44371015691039|3615|64|1|25/12/2020 14:36
614|859733764|52566880333779|3666|82|7|19/12/2020 03:10
615|248556365|11807780061320|9941|32|9|09/12/2020 14:40
616|312884545|38943185477567|8095|21|4|13/12/2020 04:31
617|584337229|58930462206885|8705|16|6|06/12/2020 09:01
618|669825324|56489389321088|6221|26|7|28/12/2020 20:05
619|793638184|73926571832988|4231|84|3|04/12/2020 19:32
620|283667246|27169947985208|5988|16|1|01/12/2020 16:21
621|620165298|25524188586677|7126|39|4|22/12/2020 14:09
622|639058193|79344297355417|5590|29|9|17/12/2020 23:15
623|189945798|80339628009431|3201|76|3|10/12/2020 03:39
624|268244095|44916843604341|1734|82|6|10/12/2020 05:54
625|172866618|53842063321457|6330|82|5|12/12/2020 00:11
626|214051444|71021233756868|8178|21|1|05/12/2020 00:09
627|465562893|23051983756629|6751|98|9|10/12/2020 00:03
628|770903707|16863327578214|5765|25|3|09/12/2020 04:02
629|325182182|62055574425343|7642|46|1|01/12/2020 03:53
630|790014045|95422225563053|6713|57|9|31/12/2020 02:11
631|290308198|58282839529385|2862|30|5|22/12/2020 04:51
632|749799777|60499465419040|3951|29|9|07/12/2020 08:40
633|450991053|17238468388324|8880|88|8|27/12/2020 09:41
634|801938144|55205026331561|5435|66|7|18/12/2020 14:49
635|155101525|58501087828996|7601|47|6|25/12/2020 08:52
636|708616754|31136523916471|8331|93|3|07/12/2020 15:19
637|402806453|44300516068368|3529|90|6|28/12/2020 14:59
638|317554859|79843988504909|2772|28|4|07/12/2020 07:39
639|812825036|18656428854611|5047|92|5|12/12/2020 12:43
640|153166577|78142127446608|3489|69|3|14/12/2020 13:14
641|738690875|18086677763750|3222|83|9|19/12/2020 22:10
642||46982303168069||22||02/12/2020 17:28
643|928475082|12618713675767|2585|40|7|15/12/2020 15:28
644|634494267|87212374403384|9453|82|2|15/12/2020 02:13
645|432983678|87548741396593|2771|76|9|20/12/2020 19:32
646|272870431|57169630888900|3654|46|4|31/12/2020 00:15
647|835814960||6208|35|8|04/12/2020 12:22
648|473886019|35678733931285|9712|11|9|12/12/2020 09:27
649|482659094|15838618462762|1709|46|5|06/12/2020 07:15
650|906813449|79901603675141|5966||7|20/12/2020 19:29
651|180011599|95993093628820|7386|44|9|04/12/2020 07:51
652|976604339|89525708224440|3066|85|9|02/12/2020 05:26
653|535553942|22947450882590|3477|93|5|17/12/2020 15:43
654|721072779|77286331597267|5140|79|4|17/12/2020 10:54
655|551238552|79340412218536|9275|24|4|05/12/2020 16:06
656|665860055|45760669982771|2072|96|9|06/12/2020 05:21
657|287720759|73765939343519|7531|76|1|12/12/2020 14:00
658|276604804|45542644344042|3855|62|5|12/12/2020 11:53
659|352786671|80886941311625|4985|70|3|25/12/2020 13:38
660|871204368|89159388631056|1705|79|9|21/12/2020 14:27
661|930662224|83826396993320|4933|55|9|17/12/2020 07:53
662|236748874|92832457852431|3962|65|5|22/12/2020 07:27
663|647108278|95543694206926|6140|25|8|21/12/2020 07:13
664|564824942|60732538242137|4953|15|4|16/12/2020 20:24
665|378088134|59651720981752|3179|42|5|23/12/2020 10:31
666|171422906|77496093107301|8304|85|7|02/12/2020 14:30
667|152752954|80132740519583|4227|54|8|30/12/2020 06:01
668|916905619|24447378391218|2231|42|5|18/12/2020 18:07
669|695053856|46156726150901|1569|21|2|15/12/2020 00:29
670|548045871|26306197813168|6159|56|9|10/12/2020 18:01
671|517399825|96967413007004|1228|30|3|12/12/2020 03:31
672|804703928|90966859367101|6941|38|9|15/12/2020 22:24
673|670809223|85252588510265|5641|43|7|01/12/2020 08:29
674|212984647||3933|92|5|10/12/2020 23:24
675|810721110|96132382781348|7040|42|8|11/12/2020 23:26
676|969068081|73404508579371|8542|36|7|23/12/2020 11:18
677|210251049|49792954522123|4272|96|1|06/12/2020 12:42
678|592304465|64477581623426|9395|56|4|05/12/2020 00:14
679|776948948|23510247502056|8846|13|8|04/12/2020 21:20
680|565356183|85842181014514|8983|48|9|07/12/2020 12:49
681|345779953|57114245284636|3320|90|8|18/12/2020 05:45
682|527966639|75410488005275|9311|37|5|20/12/2020 16:28
683|934012979|68380189403087|2209|92|7|19/12/2020 04:15
684|130152176|47781597618070|1542|22|5|29/12/2020 01:52
685|230802771|94971169234405|1605|13|1|09/12/2020 10:55
686||81824897637065|4578|90|6|29/12/2020 19:25
687|891001396|63913567671752|3264|21|4|25/12/2020 21:15
688|923421684|77483650278875|7025|93|7|01/12/2020 19:47
689|939080944||6050|88|8|24/12/2020 01:16
690|561274395|68861404621844|9636|92|9|16/12/2020 21:58
691|493054524|90218013779502|3549|49|3|02/12/2020 01:23
692|237033567|17546551611001|6690|32|9|19/12/2020 01:33
693|321942087|58348576872814|9287|98|8|04/12/2020 01:49
694|505304523|63921192554577|8957|59|1|28/12/2020 10:46
695|137577827|67536587321179|2246|59|6|10/12/2020 23:01
696|708009751||1903|44|5|17/12/2020 23:51
697|448047944|71110268828737|5347|99|1|22/12/2020 05:16
698|240728714|39217113252736|6251|60|3|29/12/2020 17:35
699|236868047|41825943833857|6841|60|6|03/12/2020 08:26
700|842935592|46205703562080|6904|44|1|11/12/2020 09:03
701|455667360|14548896302794|5544|19|5|02/12/2020 18:05
702|773553730|35806148299091|5547|68|5|19/12/2020 04:04
956|422157249|98419156070697|7110|22|3|24/12/2020 10:41
957||86986191510794|2712|92|5|23/12/2020 16:49
958|477241951|96753157888372|5690|18|6|23/12/2020 14:44
959|582750206|83163082029308|9796|24|9|06/12/2020 06:22
960|681899116|81603269808389|4584|33|6|25/12/2020 04:25
961|564661683|91900448839418|6665|73|9|22/12/2020 06:20
962|848285108|73043362302848|2134|26|1|07/12/2020 21:24
963|474873464||9607|95|2|17/12/2020 23:18
964|494169291|58463796599155|5576|22|3|28/12/2020 07:32
965|361321313|82744431083973|2737|95|9|03/12/2020 13:20
966|915929995|91411382402924|1566|94|9|22/12/2020 03:58
967|415032099|18460678451726|6936|62|7|10/12/2020 06:36
968|622466601|96575959364633|7829|32|2|15/12/2020 15:09
969|499557494|96816104887479|4675|28|4|09/12/2020 22:07
970|310796811|90939204707165||64|7|08/12/2020 07:45
971|669923153|48936323967455|4982|79|1|19/12/2020 15:29
972|134826954|22984477626918|3463|82|3|10/12/2020 04:18
973|944340218|61961742603373|4326|26|4|16/12/2020 02:44
974|691663926|45279125431536|3344|88||20/12/2020 06:20
975|813466578|16724581430196|3096|80|6|13/12/2020 18:10
976|696883210|40304800874940|2504|89|4|16/12/2020 06:23
977|848224380|19054764392142|2868|62|8|14/12/2020 14:45
978|581150623|84590883224137|3038|72|1|15/12/2020 21:53
979|558917470|90453857631550|2892|40|2|29/12/2020 21:41
980|738536982|76319875781570|3226|11|8|07/12/2020 13:53
981|123530219|11396177740407|6285|26|9|
982|815153115|50545600867078|2042|94|9|07/12/2020 22:25
983|377256166|65062894382071|6392|11|6|11/12/2020 05:20
984|961913688|60678087078420||60|4|11/12/2020 17:40
985|921292702|86683958937131|1208|85|7|15/12/2020 11:25
986|116313460|40891205520629|2756|75|2|02/12/2020 19:40
987|197660293|72090049730375|3753|95|4|17/12/2020 03:42
988||26825588111880|4079|14|4|10/12/2020 15:45
989|384552986|31359845501141|1807|76|1|
990|955706383|13228315073537|6786|34|3|02/12/2020 17:31
991|935690680|19153173103908|6758|83|2|11/12/2020 22:24
992|643964729|14251957344588|5809|46|4|19/12/2020 09:29
993|733113926||2642|59|8|18/12/2020 03:32
994|729233787|88116218716855|7840|99|5|08/12/2020 12:24
995|793279508|16837685769662|5399|35|5|31/12/2020 03:37
996|844141208|31632222821568|1167|38|5|12/12/2020 23:23
997|487842957|92011250402623|8682|80|5|19/12/2020 07:30
998|282769893|40499381931924|4735|44|5|23/12/2020 15:59
999|556283138|86226594514096|8974|54|1|15/12/2020 16:37
1000|130052818|52612066218753|6164|31|2|21/12/2020 16:36
1001|194571022||3360|26|6|17/12/2020 07:46
1002|217123588|40749679960324|4170|96|4|30/12/2020 03:18
1003|737676094|63909303136632|3853|29|3|29/12/2020 15:55
1004|162003961|61360918543403|9688|54|9|26/12/2020 10:10
1005|236415230|82263966169331|9693|86|6|
1006|405380412|16418723613431|7332|27|9|11/12/2020 22:56
1007|774627127|22893653558012|8312|78|1|29/12/2020 23:24
1008|678396932|93267816355268|4850|31|4|03/12/2020 10:23
1009|852982614|54259421898427|2925|94|9|04/12/2020 20:30
1010|159408732|55397948932649|5787|75|5|27/12/2020 07:35
1011|828365074|56142116441180|6143|99|9|04/12/2020 21:07
1012|465438085|44738032017465|6600|81|2|16/12/2020 09:20
1013|598224730|50802891461953|8969|58|8|04/12/2020 12:38
1014|770913771|51796025736536|8356|96|1|14/12/2020 16:13
1015|722907213|61386704195108|9575|28|5|26/12/2020 02:18
1016|704386596|44482386915567|5948|44|6|18/12/2020 03:49
1017|733146594|83103880698074|6730|30|1|07/12/2020 06:00
1018|150515694|24995483456793|5637|89|5|29/12/2020 12:33
1019|146833408|72747042946527|2735|81|8|29/12/2020 13:58
1020|239419836|23478215608385|4804|85|6|23/12/2020 13:42
1021|166492491|15109433398093|3130|12|8|15/12/2020 02:44
1022|177242923|58249452553910|8829|22|5|20/12/2020 09:18
1023|472283411|13286728463529|6090|39|8|23/12/2020 11:48
1024|863103926|44146298228728|5009|36|5|31/12/2020 01:28
1025|246319470|53505844243900|4683|96|7|16/12/2020 06:53
1026|741579506|83149784671536|4941|48|3|20/12/2020 03:31
1027|478378484|82848310197596|2272|42|3|09/12/2020 23:15
1028|950943947|48619082306478|5463|86|3|12/12/2020 02:57
1029|936481610|99053416637559|5089|98|6|03/12/2020 20:28
1030|874137122|49609584619689|4038|50|2|06/12/2020 02:16
1031|719254406|13239857681042|3370|83|9|19/12/2020 01:30
1032|596632910|36606517525731|7095|89|9|26/12/2020 10:31
1033|814748065|62335931223401|8702|99|2|04/12/2020 21:25
1034|331282628|90044260053920|7291|43|1|22/12/2020 10:50
1035|486860568||5828|44|7|15/12/2020 05:45
1036|129162825|70145811555989|9962|16|2|18/12/2020 04:18
1037|966654829|48335423758965|8160|98|9|03/12/2020 06:38
1038|206328775|43021165544030|6890|47|6|12/12/2020 03:12
1039|295261582|38326626647002|7341|92|3|17/12/2020 11:08
1040|261856816|41392708407020||57|2|10/12/2020 23:52
1041|301288014|59397426855936|5310|80|8|18/12/2020 05:53
1042|222316055|38363826906821|3875|31|3|12/12/2020 22:52
1043|157376674|79836231597042|5452|11|7|06/12/2020 16:06
1044|557893751|22900949776723|9030|56|4|30/12/2020 01:07
1045|822108429|89580092958876|7327|19|7|20/12/2020 23:16
1046|403557206|61226749999857|2153|72|5|18/12/2020 05:11
1047|231334594|17158674809432|1628|60|4|18/12/2020 13:23
1048|784646708|68914863664518|4152|25|5|17/12/2020 01:51
1049|685591275|74915964625874|1561|68|4|10/12/2020 18:25
1050|513664695|77684059660583|9668|71|8|09/12/2020 00:46
1051|296641975|57165731582823|1578|62|8|19/12/2020 15:32
1052|341722286|17562357644098|7969|58|9|30/12/2020 19:06
1053|876330132|62584321923889|2581|94|4|23/12/2020 04:08
1054|113134220|27154959522358|2397|85|5|26/12/2020 13:48
1055|314335302|20429119755697|1247|88|3|07/12/2020 15:12
1056|267761910|43063083500352|4376|97|4|31/12/2020 07:58
1057|768624114|56707340355527|6585|74|9|18/12/2020 16:37
1058|780668046|87247759623173|1325|93|8|27/12/2020 08:49
1059|795190178|45001464849052|7322|93|1|13/12/2020 18:16
1060|485957050|20726193100812|2265|55|5|10/12/2020 10:27
1061|980218737|15235437789771|1928|19|4|15/12/2020 06:58
1062|972299392|60402075541129|8915|29|8|
1063|499554047|60918817811052|6962|59|9|03/12/2020 07:36
1064|214847922|90928096492364|5834|72|1|12/12/2020 08:12
1065|668333098|66682252584974|5118|75|9|31/12/2020 01:34
1066|245747791|54855170155800|7913|71|8|05/12/2020 20:08
1067|987713353|29636310721717|9929|41|3|30/12/2020 21:54
1068|753624452|52008169331594|6581|82|8|02/12/2020 22:16
1069|219805502|84806577882988|7574|96|7|14/12/2020 20:03
1070|787901187|39891222755528|5918|87|7|26/12/2020 22:14
1071|927767053|32967770090484|4789|70|2|16/12/2020 02:38
1072|898929387|36724447438936|6290|94|4|10/12/2020 03:41
1073|813609572|47290663276013|5057|23|4|11/12/2020 17:43
1074|228656373||4509|90|8|10/12/2020 20:18
1075|641419407|19373314637795|5649|68|2|23/12/2020 17:12
1076|839695636|91932139538943|2410|77|1|26/12/2020 20:51
1077|278315844|29145138028159|9473|39|7|31/12/2020 23:27
1078|261085508|11953297445912|7138|59|7|26/12/2020 15:20
1079|468834233|39422235453833|2021|46|4|08/12/2020 01:03
1080|680724858|86700687929615|9542|67|7|15/12/2020 23:03
1081|303434082|36075120985926|9316|28|5|24/12/2020 18:33
1082|306372069|79757846358622|4736|40|4|06/12/2020 02:12
1083|147236997|61947843464235|8681|56|1|22/12/2020 22:31
1084|816558901|40666644424597|2039|60|1|21/12/2020 12:18
1085|188254949|86520037247852|7619|98|8|07/12/2020 11:51
1086|879687013|76496582219569|8200|97|4|21/12/2020 14:28
1087|933788233|70903457936252|8967|80|5|04/12/2020 00:05
1088|192370597|63837498152397|8422|58|6|25/12/2020 22:44
1089|628617363|45543649979818|9768|19|5|19/12/2020 21:22
1090|853742692|46492205171411|3263|14|4|23/12/2020 03:51
1091|121328740|56042839513036|2101|92|3|08/12/2020 21:23
1092|231659301|35555606190156|8190|96|3|28/12/2020 22:41
1093|179059259|65075022189052|9863|60|4|30/12/2020 10:30
1094|420930969|21868282295535|7487|63|3|22/12/2020 10:57
1095|981489924|97138645749405|5026|83|7|05/12/2020 01:58
1096|547029042|28984021690026|6709|44|1|03/12/2020 15:53
1097|334505370|58789989355226|5050|70|2|28/12/2020 18:41
1098|972608544|22352533980558|2257|81|4|15/12/2020 09:44
1099|822648481|54044614870606|4141|95|1|11/12/2020 08:11
1100|414397789|98725713656871|3033|16|7|03/12/2020 10:04
1101|163713978|86978332271273|1616|95|8|17/12/2020 14:53
1102|192919899|75389479902435|2202|85|1|07/12/2020 19:06
1103|188608436|52288014062016|9024|92|9|16/12/2020 20:24
1104|956759482|97117287004275|1647|36|4|10/12/2020 13:52
1105|517277321|22741640939940|9097|21|9|29/12/2020 07:16
1106|737042858|58003510485320|1882|54|2|26/12/2020 05:21
1107|424744750|73183291056496|9000|51|2|18/12/2020 22:35
1108|822194701|59520067887450|7073|31|4|15/12/2020 11:46
1109|177512311|62742489238993|5929|23|5|14/12/2020 01:45
1110|635407553|33860251092175|5317|44|5|28/12/2020 21:37
1111|252787812|43415621315021|2681|17|7|10/12/2020 23:14
1112|440247765|49389346030243|4896|47|6|28/12/2020 18:59
1113|559212117|62207714998425|1421|68|8|08/12/2020 09:07
1114|187126299|65826628132983|1604|32|3|23/12/2020 22:10
1115|773888957|85073296257473|7831|62|5|26/12/2020 13:53
1116|273570872|87525758893046|2094|35|5|30/12/2020 04:15
1117|235871485|59214494052176|2005|77|6|02/12/2020 05:02
1118|686101456|38636908956197|9100|43|2|21/12/2020 05:53
1119|876564100|93702172652985|6315|46|8|17/12/2020 00:00
1120|167078061|52298513139760|6164|20|8|29/12/2020 23:40
1121|771243230|50280776022359|2457|72|1|17/12/2020 13:43
1122|389844962|14353524494311|7333|17|1|27/12/2020 01:39
1123|461757946|58384916559451|9767|68|3|23/12/2020 01:50
1124|360419015|28194258548801|8232|71|3|05/12/2020 04:21
1125|616723745|34065114013249|8774|94|5|11/12/2020 05:43
1126|499528220|88518588004608|9683|77|1|08/12/2020 04:52
1127|857894000|69918696050008|9520|74|8|21/12/2020 16:14
1128|606084004|93687409204127|4176|22|9|22/12/2020 15:33
1129|155897389|51955941301792|9338|50|8|29/12/2020 03:08
1130|351522674|31501276183102|9061|31|2|14/12/2020 16:04
1131|995843595|43307737838674|8555|77|7|05/12/2020 16:42
1132|335140237|45397077005569|6348|75|5|07/12/2020 04:43
1133|922409476|55741519151544|1710|60|5|24/12/2020 19:27
1134|720691923|73614283951974|3752|91|6|01/12/2020 12:14
1135|472827714|96557633300646|7044|16|5|27/12/2020 06:00
1136|818433820|66356696054798|4693|21|9|26/12/2020 14:16
1137|313843079|69217137708760|5917|47|9|21/12/2020 15:00
1138|476103235|32326747867493|8791|49|1|16/12/2020 14:15
1139|238416005|24431704846487|3965|58|4|28/12/2020 17:45
1140|308366249|76147559408448|5956|35|3|22/12/2020 09:33
1141|144701875|42346899872367|3887|55|2|18/12/2020 13:06
1142|588054975|57431005815432|3751|57|9|26/12/2020 06:30
1143|907239818|36334422756790|8575|43|4|17/12/2020 21:59
1144|928050039|40727176685075|1364|64|2|26/12/2020 03:21
1145|692334639|21283608175610|7419|46|2|04/12/2020 19:22
1146|146113776|68076840940420|1820|21|7|05/12/2020 12:01
1147|671836073|47459939949430|9562|93|6|18/12/2020 01:48
1148|185948829|79443292590503|2827|50|2|06/12/2020 12:01
1149|243402372|68586077046110|7314|51|9|05/12/2020 09:47
1150|721990985|94179996123000|8773|98|8|11/12/2020 19:28
1151|232165820|85480930598535|9980|16|3|24/12/2020 22:58
1152|706353602|99421325978356|7987|80|4|17/12/2020 15:29
1153|227419035|39527276235444|7313|15|6|17/12/2020 04:35
1154|816903391|42736083364843|6663|58|4|13/12/2020 17:50
1155|173082683|50449875172587|3298|93|9|09/12/2020 11:09
1156|231644923|24030459531066|9294|94|5|18/12/2020 13:38
1157|698275125|19111877219020|1611|93|9|11/12/2020 09:46
1158|605778308|46019436325911|1909|27|2|05/12/2020 04:06
1159|954079824|27020011503463|8829|35|9|04/12/2020 20:52
1160|544387909|52205945821541|3683|41|7|27/12/2020 20:40
1161|182814510|31482265154150|1403|36|7|06/12/2020 03:25
1162|140259757|20615799495207|2089|48|8|21/12/2020 18:09
1202|723524524|33912485220641|6438|48|8|07/12/2020 08:56
1203||61196399377471|9126|69|3|31/12/2020 18:43
1204|903379399|27595169731975|9218|34|4|27/12/2020 22:15
1205|725403895|61953831567185|1923|32|4|14/12/2020 02:23
1206|733721686|71482637150554|7810|39|6|03/12/2020 04:59
1207|307177069|75853288222793|9382|51|5|26/12/2020 22:18
1208|485808194|16486825847463|8628|96|3|01/12/2020 08:47
1209|871144685||8839|32|5|30/12/2020 05:59
1210|742356517|25953166620784|3891|61|8|25/12/2020 10:17
1211|744467609|30996237785820|4730|31|8|18/12/2020 00:38
1212|547160354|68428660700489|2127|41|9|31/12/2020 12:51
1213|550574324|11944849336888|3626|96|1|06/12/2020 07:46
1214|338918116|96835060212070|5268|47|2|29/12/2020 23:53
1215|659499835|45731686784804|6384|13|3|29/12/2020 18:00
1216|284427635|17749369893162||51|1|31/12/2020 09:28
1217|162787150|73922725020766|9634|90|2|25/12/2020 19:38
1218|574185248|16018252478173|9875|58|8|29/12/2020 02:24
1219|205985353|60051117018189|8938|20|5|04/12/2020 12:48
1220|505622938|81729587475916|7158|86||28/12/2020 18:59
1221|740190034|35861025046870|1375|15|2|25/12/2020 06:27
1222|168939813|24837321527445|1436|70|9|04/12/2020 20:42
1223|845244444|70737852339208|5997|77|1|04/12/2020 07:25
1224|164429198|43377205466161|9122|95|3|26/12/2020 12:40
1225|471844757|98229188430925|3857|77|3|18/12/2020 18:28
1226|263241857|73005091500648|2677|87|8|06/12/2020 19:26
1227|790500975|98870639316036|7817|80|5|
1228|164921619|60601115008604|5527|70|6|19/12/2020 09:31
1229|873215453|83736741604318|9256|42|1|06/12/2020 06:15
1230|777031155|94925887944782||61|3|27/12/2020 21:04
1231|173431854|88747414475630|5462|13|8|01/12/2020 00:43
1232|556968026|41453636477496|5211|38|7|20/12/2020 23:53
1233|487352370|91215542707843|6751|48|5|08/12/2020 11:52
1234||19278729248999|4300|43|4|21/12/2020 09:55
1235|196678682|16876722597747|2219|94|1|
1236|925604231|39274294394470|2186|19|3|03/12/2020 13:16
1237|287320723|58300289634102|4029|56|9|10/12/2020 20:04
1238|292258872|78792375465707|4086|64|7|18/12/2020 22:02
1239|867288361||5339|25|5|11/12/2020 20:07
